13.2,1.78
13.16,2.36
13.24,2.59
13.64,3.1
12.93,3.8
12.85,1.6
13.5,1.81
13.05,2.05
13.39,1.77
13.3,1.72
13.48,1.81
13.28,1.64
13.05,1.65
13.07,1.5
14.22,3.99
13.41,3.84
13.24,3.98
13.05,1.77
14.21,4.04
14.38,3.59
13.05,1.73
13.29,1.97
12.64,1.36
13.67,1.25
13.11,1.01
13.34,0.94
13.86,1.51
13.49,1.66
12.99,1.67
13.03,0.9
12.7,3.87
12.72,1.81
13.05,3.86
12.67,0.98
12.69,1.53
12.29,2.83
12.29,3.17
12.34,2.45
12.42,2.55
12.72,1.75
11.46,3.74
12.52,2.43
12.77,3.43
12.0,3.43
12.42,4.43
13.05,5.8
11.87,4.31
12.04,4.3
12.86,1.35
12.88,2.99
12.81,2.31
12.7,3.55
12.51,1.24
12.6,2.46
12.25,4.72
13.49,3.59
12.84,2.96
12.93,2.81
13.36,2.56
13.52,3.17
12.25,3.88
13.32,3.24
13.5,3.12
12.79,2.67
13.11,1.9
12.58,1.29
12.45,3.03
14.34,1.68
13.48,1.67
12.36,3.83
13.69,3.26
12.85,3.27
12.96,3.45
13.78,2.76
12.82,3.37
13.58,2.58
12.2,3.03
12.77,2.39
14.16,2.51
13.17,2.59
14.13,4.1
